zks,zksync,first eth deposit time,mint nft 0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83 in zksync,zksync eth balance ,zksync last sale,0x7d54a311d56957fa3c9a3e397ca9dc6061113ab3  claim  in zksync,"l0 Transaction Details  Mon, 19 Jun 2023   op-arb  arb-op   ""Bridge within a few minutes""  "
0x8f9864804fe1f4a6e50e21eaf65d5d4207670a49,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0145,2024/5/13,2023/12/6,0x47d07efd2ff5b9905f23bdd6a19cc5491f0116c2e4bb186a8be64a36af5dfde0     0.591053 SGETH
0x4775e8f8d83283c7fd64de9be19781f42ff185d8,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/3,2023/7/3,0.0155,2024/5/11,2023/12/6,0x0d52be7444a9260fbcaccfc373a13ea45e0b227354545bf7f934dd74ad70169c   1.08953 SGETH
0x10d45ffacaeeebb71e197a06dbe5456b21745788,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/29,tx/0xcfde7d16b8af532848409061fc961f1486df156f175347fd7cdc74d3cc7aae9e,0.0167,2024/5/18,2023/12/6,0x278f62e3ce2cb704907735cc3fbb69a141bdd208410c73e0462f63f70f79e048    0.638851 SGET
0x4e4ee7c6aa001c4719fa94e42a6939d432673dee,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/29,tx/0xb38798a051734999792acd69f383c00674ff8b9658def1ceb94a840cf0667a98,0.0114,2024/4/11,2023/12/6,0x2d3a3c2f9b0a156f527c3b0771206418d7e3e6dff4d69fcd6d42f06b2e3905be   0.928078 SGETH
0xa1f1ddc6806356e0f73332de40fa4fa1549c61f7,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/28,tx/0x4a51c931c1597017446773cb42926885bcb7e3173f8887d83f3b77b1f93a2649,0.0196,2024/5/15,2023/12/6,0x238edbdcd49289bd4411da1f28eb54432cc8c405c88e994e4504fe3c4494f298    0.688276 SGETH
0x20a987025654c8c60e3e3c8a2ae3fd45f8bb7d04,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/27,tx/0x01f2b089646c2ed950ad322cd79c9fc8d454abdc43aa360b46a1800cc32a782e,0.0152,2024/5/12,2023/12/6,0x0d890a52f7abf726c4f54d6f3738bfbbc51db69250f75cf7adc21a726e561419    0.344316 SGETH
0x558474443877ea2002860926c4794c517eb31599,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0202,2024/5/11,2023/12/6,0xa8b6fca0e5e5b586ea43ee14f80a8dae6693e058ce810991b41243b6c7b8d0dd   0.660043 SGETH
0x832b93f719c845c2fa067f387c2e215503d4b995,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/28,2023/6/28,0.0166,2024/5/11,2023/12/6,0x94546605c0169223d3b9abee4fba1e55993e930cfa65bb3c8f9ff4bd77f055e2   0.370727 SGETH
0x5fc293752787a6da640c4cf9b05479c9e6c4dd8f,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0133,2024/4/11,2023/12/6,0xd474ed5d54757bd84508d2d33ecb5223ea16c3ca6eab915045a7f9c44bda1458  0.899834 SGETH
0x3d9d74cbb7fe2c0fb484a93a045ff2df472a9984,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0137,2024/5/15,2023/12/6,0x7c9b63529e51c521ea833a7622c6ef9c9789d9cc9bb2ca0fa8f3bc60ecd2ffed   0.689455 SGETH
0x2a3b2cbc746f263ba76d5258a6f4615137abc1ab,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/4,2023/7/4,0.0133,2024/5/15,2023/12/6,0xb8eecc46995a23454e9de81983e25636b099bcf513f173268f450171833673c9  0.673099 SGETH
0x06b746bbc7e7b5fe2015de94e67e59ade83a0cef,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/16,2023/7/16,0.012,2024/4/10,2023/12/6,0x8861e5fed75322bda246b324352458204de289570ff12d4f99f6b1f3d72fa1f5    0.686419 SGETH
0xd6dc9ba0734efd1c2e8ada66f6e50b9096201ab8,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/29,tx/0x54f3d434e4ae7997ef8a7c084e37906fd7395b2d0eb73f061d8ebc2d18c57326,0.017,2024/5/12,2023/12/6,0x8a265eda822aa6259ffb705a479395e29cd92197a697dd633147d70ecc5e1153  0.675866 SGETH
0x331d49f93a1bea8698c4ad3ed10441bf6ab9c107,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/27,tx/0x56c9062f725e3917bb96a0121842b707517c875eef6657fc5b9541d37e7049f6,0.0112,2024/5/8,2023/12/6,0x899f52a6e6e05fc278b5c004e0f214e352f6e648ed66f2c3cd66181f48d9eaaf        1.32755 SGETH
0x8c949c89650f895d5013950157f8b76e25aa3e58,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/28,tx/0x438fe1dd3e406811198762c36f94e1531913b77603740281cc9ea67a901e74d1,0.0177,2024/5/5,2023/12/6,0xd192b0c0ff0b00c598587e868a4e30f1e15ed86e57f01126afd690f3499fba2a  1.06739 SGETH
